	County	Name	Vote
0	BRISTOL	Trump D	104775
1	FRANKLIN	Trump D	10327
2	HAMPSHIRE	Trump D	22089
3	PLYMOUTH	Trump D	114722
4	WORCESTER	Trump D	157138
5	BERKSHIRE	Trump D	16799
6	MIDDLESEX	Trump D	216163
7	NORFOLK	Trump D	119171
8	HAMPDEN	Trump D	78230
9	NANTUCKET	Trump D	1892
10	SUFFOLK	Trump D	50042
11	BARNSTABLE	Trump D	53842
12	DUKES	Trump D	2474
13	ESSEX	Trump D	135405
0	BRISTOL	Clinton H	127619
1	FRANKLIN	Clinton H	24369
2	HAMPSHIRE	Clinton H	54572
3	PLYMOUTH	Clinton H	133828
4	WORCESTER	Clinton H	197126
5	BERKSHIRE	Clinton H	43540
6	MIDDLESEX	Clinton H	508919
7	NORFOLK	Clinton H	219129
8	HAMPDEN	Clinton H	110313
9	NANTUCKET	Clinton H	4144
10	SUFFOLK	Clinton H	241212
11	BARNSTABLE	Clinton H	71632
12	DUKES	Clinton H	8338
13	ESSEX	Clinton H	220027
