	ST	Clinton H	Trump D	Less.Than.High.School	At.Least.High.School.Diploma	At.Least.Bachelor.s.Degree	Total.Population
0	AL	62435	89199	12.2	87.8	37.4	324429.0
1	AZ	29546	44432	16.3	83.7	17.9	335941.5
2	AL	4848	5431	28.1	71.9	13.5	28560.0
3	AL	12108	20596	24.3	75.7	11.9	81240.5
4	AR	2350	1716	30.7	69.3	12.6	12039.5
5	AZ	18336	20586	28.4	71.6	13.3	192367.0
6	AL	2366	6031	22.0	78.0	9.3	17396.5
7	AL	5271	12967	23.9	76.1	15.7	41197.0
8	AL	1035	5819	24.7	75.3	9.2	14501.0
9		92013	129786				
10	AL	3530	1139	25.3	74.7	12.0	10915.5
11	AL	5908	18110	14.7	85.3	21.7	52077.5
12	AL	4698	10282	27.0	73.0	10.9	37940.0
13	AL	5712	7109	23.9	76.1	13.5	26135.5
14	AL	10547	30567	18.1	81.9	19.0	99319.0
15	AL	3682	21779	31.9	68.1	10.9	69646.0
16	AL	1524	8809	26.6	73.4	10.5	25208.0
17	AL	1234	5230	28.6	71.4	9.5	13850.5
18	AR	1165	1507	19.7	80.3	12.4	8165.0
19	AR	3606	4398	16.9	83.1	21.7	23298.0
20	AL	12826	5784	23.2	76.8	14.3	43284.0
21	AZ	1318	3381	23.1	76.9	9.0	20272.0
22	AR	2371	4391	19.3	80.7	14.7	22851.5
23	AR	1999	3779	26.9	73.1	8.8	16064.0
24	AR	2655	4844	17.3	82.7	13.8	20946.0
25	AR	2101	9454	20.9	79.1	13.8	25631.0
26	GA	3005	6047	25.9	74.1	10.1	24906.0
27	GA	3194	5488	24.7	75.3	18.9	15811.5
28	GA	1474	9579	30.4	69.6	11.0	28669.5
29	GA	4082	11931	11.5	88.5	27.4	30454.0
30	GA	49902	45641	10.8	89.2	24.4	193437.0
31	GA	1108	1892	29.4	70.6	12.8	8436.0
32	GA	1136	2519	34.5	65.5	8.9	9591.0
33	GA	6737	12401	20.4	79.6	15.9	47972.0
