	Mean	Party	State	Year
0	0.5659115860990478	Republicans	OR	2016
1	0.5457190273213419	Republicans	OR	2012
2	0.520374864919427	Republicans	OR	2008
0	0.3624739498212185	Democrats	OR	2016
1	0.4165613075519323	Democrats	OR	2012
2	0.44809473240464764	Democrats	OR	2008
0	0.5594414542842472	Republicans	CO	2016
1	0.5459029565950768	Republicans	CO	2012
2	0.5284692105090691	Republicans	CO	2008
0	0.3663064656124775	Democrats	CO	2016
1	0.4277127441379756	Democrats	CO	2012
2	0.4525287381815778	Democrats	CO	2008
0	0.5196224732635305	Republicans	WA	2016
1	0.5166192977762767	Republicans	WA	2012
2	0.5010349970770595	Republicans	WA	2008
0	0.41758422829311725	Democrats	WA	2016
1	0.4561014619625124	Democrats	WA	2012
2	0.4770186020742164	Democrats	WA	2008
0	0.04122067134783353	Republicans	DC	2016
1	0.07278291417600523	Republicans	DC	2012
2	0.06532557465968035	Republicans	DC	2008
0	0.928465918821716	Democrats	DC	2016
1	0.9091311392818724	Democrats	DC	2012
2	0.9245710975614344	Democrats	DC	2008
0	0.6761282608357589	Republicans	IN	2016
1	0.6056696144393446	Republicans	IN	2012
2	0.5441646804033271	Republicans	IN	2008
0	0.2762686725355494	Democrats	IN	2016
1	0.3717711669915946	Democrats	IN	2012
2	0.4412452964014889	Democrats	IN	2008
0	0.3696468208093208	Republicans	VT	2016
1	0.327652891108531	Republicans	VT	2012
2	0.32382723778453204	Republicans	VT	2008
0	0.5669632127172861	Democrats	VT	2016
1	0.6475666444811152	Democrats	VT	2012
2	0.6544981495725268	Democrats	VT	2008
0	0.7302627459170168	Republicans	TN	2016
1	0.6659422960030027	Republicans	TN	2012
2	0.6317252778796502	Republicans	TN	2008
0	0.23839888595348668	Democrats	TN	2016
1	0.3188668405876274	Democrats	TN	2012
2	0.35201228894149145	Democrats	TN	2008
0	0.44529469703978464	Republicans	CT	2016
1	0.4211595398720986	Republicans	CT	2012
2	0.39460914772506556	Republicans	CT	2008
0	0.505668335195824	Democrats	CT	2016
1	0.5651443080345822	Democrats	CT	2012
2	0.5913487520088327	Democrats	CT	2008
0	0.43810811135332484	Republicans	CA	2016
1	0.4534895104198633	Republicans	CA	2012
2	0.4454157812407319	Republicans	CA	2008
0	0.5026282686369842	Democrats	CA	2016
1	0.5150928179624711	Democrats	CA	2012
2	0.5314152741562597	Democrats	CA	2008
0	0.6342553780243613	Republicans	IL	2016
1	0.5693354936326963	Republicans	IL	2012
2	0.5060806768668139	Republicans	IL	2008
0	0.31412693567498773	Democrats	IL	2016
1	0.4102009444137505	Democrats	IL	2012
2	0.4768077938061312	Democrats	IL	2008
